idA	idB	O	OHA	OHB	OLA	OLB	K
309	68249	N	-69	-70	181	181	2
309	47507	N	-97	-97	154	154	2
309	83602	N	-168	-168	83	83	0
309	79560	N	-124	-124	127	127	2
309	101323	N	-69	-70	181	181	2
309	20726	N	-84	-85	166	166	2
309	40041	N	39	36	212	212	1
68157	15920	N	-193	-193	58	58	1
68157	28381	N	-85	-85	166	166	1
68157	35205	N	-228	-228	23	23	0
68157	14010	N	230	230	21	21	0
68157	75753	N	230	229	21	21	0
28805	83462	N	-104	-104	147	147	0
89113	85472	N	37	37	214	214	0
89113	85123	N	195	195	56	56	1
95741	35091	N	-215	-214	36	36	0
95741	88439	N	129	130	121	121	1
83414	43963	N	-144	-145	106	106	1
83414	13286	N	2	1	249	249	2
83414	62735	N	172	171	79	79	0
13983	71732	N	168	170	79	79	0
101333	62203	N	-165	-166	85	85	1
101333	21690	N	-40	-40	211	211	4
101333	47264	N	-13	-13	238	238	1
2831	46376	N	-201	-200	49	49	0
2831	36112	N	-75	-75	174	174	1
2831	8487	N	-163	-161	88	88	0
2831	20111	N	-64	-70	179	179	3
2831	55470	N	0	0	249	249	0
2831	12877	N	111	112	138	138	1
2831	102740	N	-154	-152	97	97	0
38598	22343	N	-212	-212	38	38	0
38598	86601	N	-191	-192	58	58	0
38598	84558	N	-212	-212	38	38	0
55878	60765	N	62	63	188	188	2
55878	98677	N	111	111	139	139	0
55878	52707	N	126	125	124	124	0
83014	98571	N	-54	-54	197	197	2
83014	101966	N	-15	-15	236	236	2
83014	89186	N	147	146	104	104	0
12096	2324	N	-94	-94	156	156	0
23361	23338	N	192	193	58	58	0
23361	37223	N	73	74	177	177	2
62203	47264	N	152	153	98	98	0
35091	40951	N	-195	-195	56	56	0
35091	70305	N	217	216	34	34	0
68814	85123	N	195	195	56	56	0
68814	60354	N	170	170	81	81	0
68814	2361	N	0	0	251	251	4
98571	101966	N	39	39	212	212	0
98571	89186	N	201	200	50	50	0
60835	23782	N	194	198	52	52	0
31976	62512	N	94	95	155	155	0
31976	70543	N	32	33	217	217	1
31976	70111	N	-156	-156	93	93	1
9557	84267	N	-34	-34	217	217	1
9557	14010	N	159	159	92	92	1
9557	58838	N	206	206	45	45	0
9557	36852	N	-50	-50	201	201	0
9557	52278	N	194	192	57	57	1
9557	67648	N	-100	-100	151	151	0
9557	10143	N	172	172	79	79	0
9557	75753	N	159	158	92	92	0
85472	16888	N	218	217	33	33	0
6482	3486	N	-93	-92	158	158	2
