idA	idB	O	OHA	OHB	OLA	OLB	K
61361	50976	N	22	21	229	229	0
53901	61622	N	94	96	155	155	0
53901	32665	N	81	83	168	168	2
53901	54651	N	-115	-113	136	136	1
53901	1050	N	58	60	191	191	0
79055	103321	N	-12	-12	239	239	2
79055	64608	N	134	134	117	117	0
79055	72803	N	76	75	175	175	2
79055	6241	N	-38	-39	212	212	2
74316	19876	N	113	113	137	137	0
74316	93263	N	-12	-11	239	239	1
74316	25121	N	0	1	250	250	1
74316	73605	N	-119	-118	132	132	1
74316	1914	N	47	48	203	203	2
74316	104275	N	-3	-6	244	244	1
74316	29779	N	-119	-118	132	132	1
74316	31383	N	-42	-41	209	209	1
74316	72494	N	-165	-166	84	84	1
74316	6721	N	-46	-45	205	205	2
74316	68961	N	83	84	167	167	0
37143	31540	N	99	98	152	152	0
37143	58828	N	-16	-16	235	235	0
79994	81860	N	-167	-168	83	83	0
79994	104512	N	-78	-80	171	171	0
79994	32037	N	39	38	212	212	2
79994	60409	N	40	40	211	211	2
79994	25339	N	2	2	249	249	1
20961	33871	N	78	78	172	172	1
20961	93441	N	0	0	250	250	0
20961	47882	N	16	17	234	234	1
20961	41197	N	38	39	212	212	1
20961	102554	N	-38	-37	213	213	2
20961	41315	N	-40	-41	209	209	1
20961	58349	N	126	125	124	124	0
20961	9044	N	-161	-160	90	90	0
20961	77848	N	-9	-8	242	242	0
20961	11362	N	0	0	250	250	0
20961	38168	N	142	142	108	108	1
52229	21141	N	6	6	245	245	1
52229	89533	N	137	137	114	114	1
52229	565	N	-117	-117	134	134	1
52229	2579	N	45	44	206	206	2
81860	39362	N	160	160	90	90	0
81860	85862	N	-150	-149	101	101	0
81860	25339	N	169	170	81	81	0
34198	33497	N	-149	-150	101	101	1
34198	52523	N	94	94	157	157	0
34198	72619	N	-119	-119	132	132	1
34198	1539	N	115	113	136	136	0
1011	7749	N	112	112	139	139	0
1011	33150	N	-149	-150	101	101	0
1011	102717	N	-101	-101	150	150	0
4945	101112	N	11	11	239	239	1
4945	55612	N	-171	-170	80	80	0
88935	71780	N	143	143	108	108	0
88935	66634	N	-54	-55	196	196	1
88935	76029	N	164	160	87	87	0
9422	4221	N	-37	-36	214	214	1
9422	82250	N	-160	-159	91	91	0
9422	78956	N	-133	-132	118	118	0
78317	91628	N	-149	-149	102	102	0
78317	75334	N	44	43	207	207	0
78317	75096	N	-5	-6	245	245	0
78317	4936	N	161	161	90	90	0
78317	5429	N	0	0	251	251	1
78317	80087	N	-32	-32	219	219	0
31769	85202	N	-135	-136	115	115	1
31769	34860	N	3	2	248	248	0
31769	80227	N	-147	-147	104	104	0
41823	100735	N	-13	-13	237	237	2
41823	75644	N	-1	0	250	250	0
41823	74145	N	46	46	204	204	1
41823	93684	N	-14	-13	237	237	0
41823	61021	N	145	146	105	105	0
8841	65625	N	-63	-63	188	188	0
8841	19441	N	-139	-139	112	112	0
61074	49291	N	147	148	103	103	1
61074	39913	N	-10	-9	241	241	1
61074	17658	N	-83	-83	167	167	1
66925	64996	N	-4	-5	245	245	0
66925	38833	N	131	130	119	119	0
66925	28170	N	-52	-51	199	199	0
98777	51175	N	-10	-10	239	239	2
11304	96280	N	-15	-15	235	235	0
11304	74238	N	-68	-72	178	178	2
11304	32647	N	37	37	213	213	1
11304	2281	N	-22	-22	228	228	1
11304	50976	N	-15	-15	235	235	0
11304	99498	N	77	75	173	173	2
73195	69833	N	-3	-4	247	247	0
73195	50555	N	13	13	238	238	2
73195	7466	N	148	148	103	103	0
59136	104275	N	116	112	135	135	1
59136	67365	N	114	114	137	137	1
94541	83425	N	-29	-29	222	222	0
94541	18168	N	73	72	178	178	0
94541	97544	N	-104	-105	146	146	0
94541	48525	N	-61	-61	190	190	0
32447	61453	N	-162	-162	89	89	0
32447	82658	N	-17	-17	234	234	1
32447	72619	N	136	136	115	115	0
32447	98893	N	-84	-84	167	167	1
103419	94619	N	-137	-138	113	113	1
103419	89414	N	-130	-130	121	121	1
103419	27843	N	-84	-84	167	167	2
103419	25406	N	-75	-78	173	173	2
103419	85949	N	-85	-86	165	165	1
103419	89732	N	-113	-114	137	137	0
103419	67785	N	-136	-137	114	114	0
103419	33793	N	0	0	251	251	0
103419	69849	N	34	32	217	217	2
58469	7749	N	148	149	102	102	1
58469	33410	N	-100	-100	150	150	0
82003	54561	N	151	151	100	100	1
82003	56635	N	160	159	91	91	0
70531	73062	N	-1	-1	250	250	1
70531	89644	N	74	74	177	177	1
70531	55804	N	-154	-154	97	97	0
70531	565	N	-88	-88	163	163	0
48664	16074	N	-152	-152	99	99	1
